id,user_id,title,message,type,read,related_application_id,created_at,link
17,ff8bda17-9bbe-46b6-8e45-33218393f862,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Technique Eau " a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,f,,2025-08-25 00:04:03.138658+00,/candidate/applications
18,85ccfcf3-b418-4f86-babd-051951cfd11b,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Exploitation Electricit̩" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,f,,2025-08-25 07:38:02.974049+00,/candidate/applications
19,85ccfcf3-b418-4f86-babd-051951cfd11b,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Moyens G̩n̩raux" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,f,,2025-08-25 07:57:06.582028+00,/candidate/applications
21,a3cfc811-24d0-41ff-9d1c-f02617913847,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Exploitation Electricit̩" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,t,,2025-08-25 10:16:34.63962+00,/candidate/applications
27,a3cfc811-24d0-41ff-9d1c-f02617913847,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Moyens G̩n̩raux" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,t,,2025-08-25 12:24:43.722799+00,/candidate/applications
29,a3cfc811-24d0-41ff-9d1c-f02617913847,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Technique Eau " a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,t,,2025-08-25 12:39:08.549065+00,/candidate/applications
24,0b076d7d-c2cd-4c6a-8301-1467f29954b3,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Exploitation Electricit̩" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,t,,2025-08-25 11:39:43.603154+00,/candidate/applications
23,1e6f4f14-641b-4b46-9624-ac686783d0a3,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Audit & Contr̫le interne" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,t,,2025-08-25 11:15:25.158712+00,/candidate/applications
36,4dc6bf49-7813-49fd-a764-b8a8fbe33995,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Commercial et Recouvrement" a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,f,,2025-08-25 15:43:27.941922+00,/candidate/applications
38,2f11d213-49f8-4407-ae5b-22cc99d3706b,Candidature enregistr̩e,Votre candidature pour le poste de "Directeur Technique Eau " a bien ̩t̩ enregistr̩e. Pour toute question, contactez-nous au 076 40 28 86.,info,f,,2025-08-25 17:23:16.236956+00,/candidate/applications
